"","GSM1423267","GSM1423268","GSM1423269","GSM1423270","GSM1423271","GSM1423272","GSM1423273","GSM1423274","GSM1423275","GSM1423276","GSM1423277","GSM1423278","GSM1423279","GSM1423280","GSM1423281","GSM1423283","GSM1423285","GSM1423287","GSM1423289","GSM1423291","GSM1423293","GSM1423295","GSM1423297","GSM1423299","GSM1423301","GSM1423303","GSM1423305","GSM1423307","GSM1423311","GSM1423316"
"11725631_a_at",4.391247129,4.376082677,4.697198733,7.449383316,11.49620626,4.242006937,4.578760518,7.237734765,4.237453187,4.007900623,7.986820808,4.19965628,9.389605587,8.336635294,10.42748353,11.67226974,11.0551109,4.01620262,10.24695864,9.38511165,7.605673973,10.23474731,7.716573623,8.359245159,8.065709089,9.717330999,9.054761011,7.097673789,9.704110672,9.719749586
"11729058_s_at",4.415796383,5.534189089,4.152281829,6.243759243,9.847593423,5.899156029,4.668879849,5.315898379,4.770924111,4.455929116,5.894741242,5.088407771,4.206056167,8.272235035,10.20121658,9.971881374,10.62089657,5.005733009,11.26080427,10.22455535,7.532700237,10.78945509,8.829740042,10.13903267,5.307777854,10.96679563,9.944632782,6.380720855,10.92631027,10.55470108
"11717994_a_at",5.68642437,7.093881688,5.584115211,10.34997741,12.94137855,7.506319382,5.848188485,9.862974322,6.525547994,6.230006584,10.52694469,6.694215694,10.83376705,11.53549218,12.90492405,13.04514114,12.8822132,6.728839239,12.24175248,12.2844643,11.08091418,12.48023521,11.18828634,11.99975151,11.07978842,12.19939619,11.72610702,10.28602507,12.10601786,12.28852954
"11719218_at",5.096568972,6.105953403,5.130225313,8.369235933,10.87142671,5.691117229,5.73495977,6.893365393,5.620707842,5.782873491,10.06288854,4.525157208,8.703319998,9.97052309,11.33258057,11.00776611,11.11093693,4.814824214,11.39312983,10.24856448,8.246542373,11.04211932,8.465782018,8.761685531,10.079135,10.71879912,9.466630072,7.478078737,11.21334429,10.89427801
"11749291_a_at",6.610250317,7.379400828,6.811905382,11.44362208,13.80829034,7.063938778,6.667861189,11.45453347,6.504245297,7.525941136,13.053185,7.478505029,12.88394327,12.96096889,13.56628408,13.95413653,12.5578769,7.514522915,12.10719913,11.31272832,10.38138258,12.00924652,11.13409666,11.9769245,13.4417535,10.55061995,9.302795873,11.04090089,11.26390859,11.62959616
"11736342_at",4.216205815,5.755003486,4.565092213,9.178804502,10.46394577,4.788715678,4.821478807,7.107972797,4.370806946,4.457446533,7.911645398,4.381621837,8.533975826,8.774968413,10.32981893,10.31884919,10.96195044,4.250911873,10.48942137,9.755312158,8.385695733,9.843958658,8.310359519,8.95147336,7.377520169,10.20775432,9.604344062,6.997068326,10.37249275,9.548218803
"11742807_a_at",4.330497658,3.770377702,8.337785348,3.518329041,8.486409392,5.599448099,8.649520572,9.161685287,3.181308918,3.278171264,3.053483164,7.437636877,5.168950695,3.271875511,6.540218095,8.181353158,9.870744689,6.810678286,9.302726937,7.613842421,8.851377589,5.713963617,7.9302707,8.254862948,3.778409298,9.263906023,3.939198193,8.253996278,9.782427294,3.205569658
"11726316_at",3.170762172,4.432926671,4.363377485,5.649310468,8.981951531,4.219801159,4.937287501,4.097300038,3.599789867,4.676166719,10.13542601,2.882993244,4.912510623,8.639039756,9.389937787,8.769129329,8.826896179,3.227702997,9.547435744,6.353290134,4.92613143,7.849255002,5.365993417,4.171166604,5.267225825,9.318835273,3.569601896,5.502110864,9.615316882,9.086551513
"11724037_at",4.250753939,5.515906688,4.362012327,6.473637377,10.38620948,5.124623007,5.060167217,6.120608479,3.991000354,4.346049807,7.370287127,3.924746025,8.560791896,8.443960452,9.691349504,10.06622083,11.09815172,3.917043211,12.63820453,8.524311906,5.345210331,9.245350396,7.569575938,7.716658251,8.407695085,10.46130613,7.388620988,5.586258133,11.08315492,9.710276082
"11716631_s_at",3.351686626,3.914690804,4.062790605,3.570172388,5.119729227,3.474066174,3.581823897,3.640566509,4.534092554,3.923665376,3.514534246,3.576038379,4.021725813,7.007453914,4.563264548,4.642771632,11.11286285,3.358368074,12.09877409,8.480526403,4.047077026,10.06706717,6.215446761,6.97547338,3.709865112,11.04762095,8.260916546,3.343881306,10.57800348,9.885898717
"11746463_a_at",4.723077314,5.088297127,4.523833011,6.218353543,10.27186465,4.783684998,5.52041233,6.070776368,5.91888071,6.064768506,9.355796205,4.695143187,7.697119436,8.845467947,10.75907974,10.34883547,12.71145771,5.429203073,12.60335578,10.02772966,7.872778185,11.36935307,7.747480617,7.895634303,7.676741265,10.29544862,8.293372788,6.887604865,11.30645555,10.04712155
